Gene,Transcript,Prot_length
A1BG,NM_130786,495
A1CF,NM_001198819,602
A2M,NM_000014,1474
A2ML1,NM_144670,1454
A3GALT2,NM_001080438,340
A4GALT,NM_001318038,353
A4GNT,NM_016161,340
AAAS,NM_015665,546
AACS,NM_023928,672
AADAC,NM_001086,399
AADACL2,NM_207365,401
AADACL4,NM_001013630,407
AADAT,NM_001286682,429
AAGAB,NM_024666,315
AAK1,NM_014911,961
AAMDC,NM_001316957,147
AAMP,NM_001302545,435
AANAT,NM_001166579,252
AAR2,NM_001271874,384
AARD,NM_001025357,155
AARS1,NM_001605,968
AARS2,NM_020745,985
AARSD1,NM_001261434,412
AASDH,NM_001323890,1137
AASDHPPT,NM_015423,309
AASS,NM_005763,926
AATF,NM_012138,560
AATK,NM_001080395,1374
ABAT,NM_000663,500
ABCA1,NM_005502,2261
ABCA10,NM_080282,1543
ABCA12,NM_173076,2595
ABCA13,NM_152701,5058
ABCA2,NM_212533,2466
ABCA3,NM_001089,1704
ABCA4,NM_000350,2273
ABCA5,NM_018672,1642
ABCA6,NM_080284,1617
ABCA7,NM_019112,2146
ABCA8,NM_001288985,1621
ABCA9,NM_080283,1624
ABCB1,NM_001348945,1350
ABCB10,NM_012089,738
ABCB11,NM_003742,1321
ABCB4,NM_018849,1286
ABCB5,NM_001163941,1257
ABCB6,NM_005689,842
ABCB7,NM_004299,753
ABCB8,NM_001282291,735
ABCB9,NM_019625,766
ABCC1,NM_004996,1531
ABCC10,NM_001198934,1492
ABCC11,NM_032583,1382
ABCC12,NM_033226,1359
ABCC2,NM_000392,1545
ABCC3,NM_003786,1527
ABCC4,NM_005845,1325
ABCC5,NM_005688,1437
ABCC6,NM_001171,1503
ABCC8,NM_001351295,1603
ABCC9,NM_005691,1549
ABCD1,NM_000033,745
ABCD2,NM_005164,740
ABCD3,NM_002858,659
ABCD4,NM_005050,606
ABCE1,NM_001040876,599
ABCF1,NM_001025091,845
ABCF2,NM_007189,623
ABCF3,NM_018358,709
ABCG1,NM_004915,678
ABCG2,NM_001348985,655
ABCG4,NM_001142505,646
ABCG5,NM_022436,651
ABCG8,NM_022437,673
ABHD1,NM_032604,405
ABHD10,NM_018394,306
ABHD11,NM_148912,315
ABHD12,NM_015600,404
ABHD12B,NM_001206673,362
ABHD13,NM_032859,337
ABHD14A,NM_015407,271
ABHD14A-ACY1,NM_001316331,498
ABHD14B,NM_001146314,210
ABHD15,NM_198147,468
ABHD16A,NM_021160,558
ABHD16B,NM_080622,469
ABHD17A,NM_031213,361
ABHD17B,NM_016014,293
ABHD17C,NM_021214,329
ABHD18,NM_001319305,382
ABHD2,NM_007011,425
ABHD3,NM_138340,409
ABHD4,NM_022060,342
ABHD5,NM_016006,349
ABHD6,NM_001320126,337
ABHD8,NM_024527,439
ABI1,NM_005470,508
ABI2,NM_001282925,513
ABI3,NM_016428,366
ABI3BP,NM_001349329,1715
ABITRAM,NM_017832,181
ABL1,NM_007313,1149
ABL2,NM_007314,1182
ABLIM1,NM_002313,778
ABLIM2,NM_001130083,645
ABLIM3,NM_001301015,683
ABR,NM_001322841,1118
ABRA,NM_139166,381
ABRACL,NM_021243,81
ABRAXAS1,NM_139076,409
ABRAXAS2,NM_032182,415
ABT1,NM_013375,272
ABTB1,NM_172027,478
ABTB2,NM_145804,1025
ACAA1,NM_001607,424
ACAA2,NM_006111,397
ACACA,NM_198834,2383
ACACB,NM_001093,2458
ACAD10,NM_001136538,1090
ACAD11,NM_032169,780
ACAD8,NM_014384,415
ACAD9,NM_014049,621
ACADL,NM_001608,430
ACADM,NM_001286043,454
ACADS,NM_000017,412
ACADSB,NM_001609,432
ACADVL,NM_001270447,678
ACAN,NM_013227,2530
ACAP1,NM_014716,740
ACAP2,NM_012287,778
ACAP3,NM_030649,834
ACAT1,NM_000019,427
ACAT2,NM_001303253,426
ACBD3,NM_022735,528
ACBD4,NM_001135706,341
ACBD5,NM_145698,525
ACBD6,NM_032360,282
ACBD7,NM_001039844,88
ACCS,NM_001127219,501
ACCSL,NM_001031854,568
ACD,NM_001082487,528
ACE,NM_000789,1306
ACE2,NM_021804,805
ACER1,NM_133492,264
ACER2,NM_001010887,275
ACER3,NM_018367,267
ACHE,NM_001302621,617
ACIN1,NM_014977,1341
ACKR1,NM_001122951,338
ACKR2,NM_001296,384
ACKR3,NM_020311,362
ACKR4,NM_016557,350
ACLY,NM_001303274,1155
ACMSD,NM_138326,336
ACO1,NM_001278352,889
ACO2,NM_001098,780
ACOD1,NM_001258406,481
ACOT1,NM_001037161,421
ACOT11,NM_015547,607
ACOT12,NM_130767,555
ACOT13,NM_018473,140
ACOT2,NM_006821,483
ACOT4,NM_152331,421
ACOT6,NM_001037162,207
ACOT7,NM_181864,380
ACOT8,NM_005469,319
ACOT9,NM_001037171,448
ACOX1,NM_004035,660
ACOX2,NM_003500,681
ACOX3,NM_003501,700
ACOXL,NM_001142807,580
ACP1,NM_004300,158
ACP2,NM_001610,423
ACP3,NM_001134194,418
ACP4,NM_033068,426
ACP5,NM_001111034,325
ACP6,NM_016361,428
ACP7,NM_001004318,438
ACR,NM_001097,421
ACRBP,NM_032489,543
ACRV1,NM_001612,265
ACSBG1,NM_015162,724
ACSBG2,NM_001289177,666
ACSF2,NM_001288968,640
ACSF3,NM_001127214,576
ACSL1,NM_001286708,698
ACSL3,NM_004457,720
ACSL4,NM_001318509,711
ACSL5,NM_016234,739
ACSL6,NM_001009185,722
ACSM1,NM_001318890,577
ACSM2A,NM_001308172,577
ACSM2B,NM_001105069,577
ACSM3,NM_005622,586
ACSM4,NM_001080454,580
ACSM5,NM_001324372,582
ACSM6,NM_207321,480
ACSS1,NM_032501,689
ACSS2,NM_001076552,714
ACSS3,NM_024560,686
ACTA1,NM_001100,377
ACTA2,NM_001141945,377
ACTB,NM_001101,375
ACTBL2,NM_001017992,376
ACTC1,NM_005159,377
ACTG1,NM_001199954,375
ACTG2,NM_001615,376
ACTL10,NM_001024675,245
ACTL6A,NM_004301,429
ACTL6B,NM_016188,426
ACTL7A,NM_006687,435
ACTL7B,NM_006686,415
ACTL8,NM_030812,366
ACTL9,NM_178525,416
ACTN1,NM_001130004,914
ACTN2,NM_001103,894
ACTN4,NM_004924,911
ACTR10,NM_018477,417
ACTR1A,NM_005736,376
ACTR1B,NM_005735,376
ACTR2,NM_001005386,399
ACTR3,NM_005721,418
ACTR3B,NM_020445,418
ACTR3C,NM_001164458,210
ACTR5,NM_024855,607
ACTR6,NM_022496,396
ACTR8,NM_022899,624
ACTRT1,NM_138289,376
ACTRT2,NM_080431,377
ACTRT3,NM_032487,372
ACVR1,NM_001105,509
ACVR1B,NM_020328,546
ACVR1C,NM_145259,493
ACVR2A,NM_001278579,513
ACVR2B,NM_001106,512
ACVRL1,NM_000020,503
ACY1,NM_000666,408
ACY3,NM_080658,319
ACYP1,NM_001302617,129
ACYP2,NM_001320586,172
ADA,NM_000022,363
ADA2,NM_001282225,511
ADAD1,NM_139243,576
ADAD2,NM_139174,665
ADAL,NM_001324366,355
ADAM10,NM_001110,748
ADAM11,NM_002390,769
ADAM12,NM_003474,909
ADAM15,NM_207197,863
ADAM17,NM_003183,824
ADAM18,NM_014237,739
ADAM19,NM_033274,918
ADAM2,NM_001464,735
ADAM20,NM_003814,726
ADAM21,NM_003813,722
ADAM22,NM_001324418,964
ADAM23,NM_003812,832
ADAM28,NM_014265,775
ADAM29,NM_001130703,820
ADAM30,NM_021794,790
ADAM32,NM_145004,787
ADAM33,NM_025220,813
ADAM7,NM_003817,754
ADAM8,NM_001109,824
ADAM9,NM_003816,819
ADAMDEC1,NM_014479,470
ADAMTS1,NM_006988,967
ADAMTS10,NM_030957,1103
ADAMTS12,NM_030955,1594
ADAMTS13,NM_139025,1427
ADAMTS14,NM_139155,1226
ADAMTS15,NM_139055,950
ADAMTS16,NM_139056,1224
ADAMTS17,NM_139057,1095
ADAMTS18,NM_199355,1221
ADAMTS19,NM_133638,1213
ADAMTS2,NM_014244,1211
ADAMTS20,NM_025003,1910
ADAMTS3,NM_014243,1205
ADAMTS4,NM_001320336,846
ADAMTS5,NM_007038,930
ADAMTS6,NM_197941,1117
ADAMTS7,NM_014272,1686
ADAMTS8,NM_007037,889
ADAMTS9,NM_182920,1935
ADAMTSL1,NM_001040272,1762
ADAMTSL2,NM_001145320,951
ADAMTSL3,NM_207517,1691
ADAMTSL4,NM_001288608,1097
ADAMTSL5,NM_213604,471
ADAP1,NM_001284308,385
ADAP2,NM_001346712,387
ADAR,NM_001111,1226
ADARB1,NM_015833,741
ADARB2,NM_018702,739
ADAT1,NM_001324445,502
ADAT2,NM_182503,191
ADAT3,NM_138422,367
ADCK1,NM_020421,523
ADCK2,NM_052853,626
ADCK5,NM_174922,580
ADCY1,NM_021116,1119
ADCY10,NM_018417,1610
ADCY2,NM_020546,1091
ADCY3,NM_001320613,1145
ADCY4,NM_001198568,1077
ADCY5,NM_183357,1261
ADCY6,NM_015270,1168
ADCY7,NM_001114,1080
ADCY8,NM_001115,1251
ADCY9,NM_001116,1353
ADCYAP1,NM_001099733,176
ADCYAP1R1,NM_001199635,496
ADD1,NM_014189,768
ADD2,NM_001185054,726
ADD3,NM_001320591,706
ADGB,NM_024694,1667
ADGRA1,NM_001083909,560
ADGRA2,NM_032777,1338
ADGRA3,NM_145290,1321
ADGRB1,NM_001702,1584
ADGRB2,NM_001294335,1584
ADGRB3,NM_001704,1522
ADGRD1,NM_001330497,906
ADGRE1,NM_001974,886
ADGRE2,NM_013447,823
ADGRE3,NM_032571,652
ADGRE5,NM_078481,835
ADGRF1,NM_153840,910
ADGRF2,NM_153839,642
ADGRF3,NM_001145168,1079
ADGRF4,NM_001347855,695
ADGRF5,NM_001098518,1346
ADGRG1,NM_001145771,693
ADGRG2,NM_001079858,1017
ADGRG3,NM_170776,549
ADGRG4,NM_153834,3080
ADGRG5,NM_001304376,528
