Gene,Transcript,Prot_length
PRAMEF2,NM_023014,474
DNASE2B,NM_021233,361
DNASE2B,NM_058248,153
CDKN2C,NM_001262,168
TNFRSF25,NM_003790,417
TNFRSF25,NM_148965,426
TNFRSF25,NM_148966,380
TNFRSF25,NM_148967,372
TNFRSF25,NM_148970,234
IL12RB2,NM_001559,862
UBE2J2,NM_194458,207
SPATA21,NM_198546,469
TARDBP,NM_007375,414
STMN1,NM_203399,149
STMN1,NM_203401,149
LHX8,NM_001001933,356
PDPN,NM_006474,238
PDPN,NM_198389,236
AADACL4,NM_001013630,407
FBXO44,NM_001014765,255
FBXO44,NM_183413,224
NCDN,NM_001014839,729
NCDN,NM_001014841,712
CATSPER4,NM_198137,472
USP1,NM_001017415,785
USP1,NM_001017416,785
ERMAP,NM_018538,475
FBLIM1,NM_001024215,374
ARHGEF10L,NM_001011722,1240
LRRC41,NM_006369,812
ACOT7,NM_007274,370
PDE4B,NM_001037341,736
TNFRSF25,NM_001039664,181
AGTRAP,NM_001040194,152
AGTRAP,NM_001040195,111
AGTRAP,NM_001040196,155
AGTRAP,NM_001040197,147
RUNX3,NM_001031680,429
PLEKHG5,NM_001042664,1006
PLEKHG5,NM_001042665,1006
FGR,NM_001042747,529
LRRC7,NM_020794,1537
TAS1R2,NM_152232,839
PHC2,NM_198040,858
MUTYH,NM_012222,546
MUTYH,NM_001048171,535
MUTYH,NM_001048172,522
MUTYH,NM_001048173,521
MUTYH,NM_001048174,521
STIL,NM_003035,1287
STIL,NM_001048166,1288
ZNF436,NM_030634,470
KLHDC7A,NM_152375,777
UBXN11,NM_183008,520
UBXN11,NM_145345,487
UBXN11,NM_001077262,400
A3GALT2,NM_001080438,340
PADI3,NM_016233,664
SLC2A7,NM_207420,512
MOB3C,NM_145279,268
MOB3C,NM_201403,216
ZBTB40,NM_001083621,1239
UQCRHL,NM_001089591,91
KNCN,NM_001097611,101
TMEM222,NM_032125,208
NEXN,NM_144573,675
EPHA10,NM_173641,295
DCDC2B,NM_001099434,349
MTFR1L,NM_019557,292
MTFR1L,NM_001099626,292
MTFR1L,NM_001099627,205
NRDC,NM_002525,1219
NRDC,NM_001101662,1151
YARS1,NM_003680,528
CAP1,NM_006367,475
CAP1,NM_001105530,475
KAZN,NM_015209,421
KAZN,NM_001017999,327
KAZN,NM_001018000,415
KAZN,NM_001018001,327
LEXM,NM_001110533,418
HSPB7,NM_014424,170
MANEAL,NM_152496,235
MANEAL,NM_001031740,250
MANEAL,NM_001113482,457
GLIS1,NM_147193,620
PIK3R3,NM_001114172,461
ZBTB17,NM_003443,803
MRPL37,NM_016491,423
SDF4,NM_016547,348
PARK7,NM_001123377,189
HTR1D,NM_000864,377
MAD2L2,NM_001127325,211
MFN2,NM_001127660,757
KIF1B,NM_015074,1770
MUTYH,NM_001128425,549
CRYZ,NM_001130042,329
CRYZ,NM_001130043,295
CRYZ,NM_001134759,192
UBIAD1,NM_013319,338
MATN1,NM_002379,496
MFAP2,NM_017459,183
MFAP2,NM_001135247,182
MFAP2,NM_001135248,182
RBBP4,NM_001135256,390
ELOA,NM_003198,798
PRDM2,NM_012231,1718
PRDM2,NM_015866,1682
ARTN,NM_057090,228
UTS2,NM_021995,139
TMEM51,NM_001136217,253
AKIRIN1,NM_001136275,147
POMGNT1,NM_017739,660
BTBD19,NM_001136537,291
LUZP1,NM_001142546,1076
RAD54L,NM_001142548,747
C1orf122,NM_001142726,47
HCRTR1,NM_001525,425
IPP,NM_001145349,582
NECAP2,NM_001145277,273
NECAP2,NM_001145278,237
MIER1,NM_001146113,370
MIER1,NM_001146111,470
ZMYND12,NM_001146192,255
P3H1,NM_001146289,697
EBNA1BP2,NM_001159936,361
EBNA1BP2,NM_006824,306
ALDH4A1,NM_001161504,503
PLA2G2A,NM_001161729,144
