ProteinID,Gene,Length
NP_000005,A2M,1474
NP_000006,NAT2,290
NP_000008,ACADS,412
NP_000010,ACAT1,427
NP_000011,ACVRL1,503
NP_000012,PSEN1,467
NP_000013,ADA,363
NP_000014,SGCA,387
NP_000015,ADRB2,413
NP_000016,ADRB3,408
NP_000017,ADSL,484
NP_000018,AGA,346
NP_000019,AGL,1532
NP_000020,AGT,485
NP_000021,AGXT,392
NP_000023,ALAS2,587
NP_000024,ABCD1,745
NP_000026,ALDOB,364
NP_000027,AMPD1,780
NP_000030,APOA1,267
NP_000031,APOC3,99
NP_000033,APOH,345
NP_000034,FAS,335
NP_000035,AR,920
NP_000037,ARSB,533
NP_000039,ASL,464
NP_000040,ASPA,313
NP_000041,ASS1,412
NP_000042,ATM,3056
NP_000043,ATP7A,1500
NP_000044,ATP7B,1465
NP_000045,AVPR2,371
NP_000046,BCHE,602
NP_000047,BCKDHB,392
NP_000048,BLM,1417
NP_000050,BRCA2,3418
NP_000053,SERPING1,500
NP_000054,C2,752
NP_000055,C3,1663
NP_000056,C6,934
NP_000057,C8B,591
NP_000058,CA2,260
NP_000060,CACNA1S,1873
NP_000061,CAPN3,821
NP_000062,CBS,551
NP_000063,CD36,472
NP_000064,CD3G,182
NP_000065,CD40LG,261
NP_000066,CDK4,303
NP_000067,CDKN1C,316
NP_000069,CETP,493
NP_000071,CHRNE,493
NP_000072,LYST,3801
NP_000073,ERCC8,396
NP_000074,CLCN1,988
NP_000076,CLCNKB,687
NP_000077,CLN3,438
NP_000079,COL1A1,1464
NP_000080,COL1A2,1366
NP_000081,COL3A1,1466
NP_000082,COL4A3,1670
NP_000083,COL4A4,1690
NP_000084,COL5A1,1838
NP_000085,COL7A1,2944
NP_000086,COMP,757
NP_000087,CP,1065
NP_000088,CPOX,454
NP_000089,CPT2,658
NP_000090,CST3,146
NP_000091,CSTB,98
NP_000092,CYBA,195
NP_000093,CYP17A1,508
NP_000094,CYP19A1,503
NP_000095,CYP1B1,543
NP_000097,CYP2D6,497
NP_000098,DDB2,427
NP_000099,DLD,509
NP_000101,DPYD,1025
NP_000102,SLC26A3,764
NP_000103,SLC26A2,739
NP_000104,TOR1A,332
NP_000108,EMD,254
NP_000110,EPB42,721
NP_000111,EPHX1,455
NP_000112,EPOR,508
NP_000113,ERCC3,782
NP_000114,ERCC5,1186
NP_000115,ERCC6,1493
NP_000117,ETFA,333
NP_000118,EXT1,746
NP_000119,F11,625
NP_000120,F13A1,732
NP_000121,F5,2224
NP_000122,F7,466
NP_000123,F8,2351
NP_000124,F9,461
NP_000125,FABP2,132
NP_000126,FANCA,1455
NP_000127,FANCC,558
NP_000128,FAH,419
NP_000129,FBN1,2871
NP_000130,MS4A2,244
NP_000134,FH,510
NP_000135,FXN,210
NP_000136,FSHR,695
NP_000137,FTL,175
NP_000138,FUCA1,466
NP_000139,FUT1,365
NP_000140,FUT3,361
NP_000141,FUT6,359
NP_000142,G6PC,357
NP_000143,GAA,952
NP_000144,GALC,685
NP_000145,GALK1,392
NP_000146,GALT,379
NP_000148,GBA,536
NP_000149,GBE1,702
NP_000150,GCDH,438
NP_000151,GCGR,477
NP_000152,GCH1,250
NP_000155,GIPR,466
NP_000156,GJA1,382
NP_000157,GJB1,283
NP_000159,GLI3,1580
NP_000160,GLA,429
NP_000161,GLDC,1020
NP_000163,GNAT1,350
NP_000164,GP1BA,652
NP_000165,GP9,177
NP_000168,GSN,782
NP_000169,GSS,474
NP_000170,MSH6,1360
NP_000171,GUCY2D,1103
NP_000172,GUSB,651
NP_000173,HADHA,763
NP_000174,HADHB,474
NP_000175,HBG2,147
NP_000176,SERPIND1,499
NP_000177,CFH,1231
NP_000178,HGD,445
NP_000180,HK2,917
NP_000181,HMBS,361
NP_000182,HMGCL,325
NP_000183,TBX5,518
NP_000184,SHH,462
NP_000185,HPRT1,218
NP_000186,HPS1,700
NP_000187,HSD11B2,405
NP_000188,HSD17B3,310
NP_000189,HSD3B2,372
NP_000190,SGSH,502
NP_000191,HTN3,51
NP_000192,ICAM1,532
NP_000193,IDS,550
NP_000194,IDUA,653
NP_000197,IL2RG,369
NP_000198,INS,110
NP_000199,INSR,1382
NP_000200,PDX1,283
NP_000202,ITGB2,769
NP_000203,ITGB3,788
NP_000204,ITGB4,1822
NP_000205,JAG1,1218
NP_000206,JAK3,1124
NP_000207,ANOS1,680
NP_000208,KCNA1,495
NP_000209,KCNQ1,676
NP_000210,KCNE1,129
NP_000211,KCNJ1,391
NP_000212,KHK,298
NP_000213,KIT,976
NP_000214,KRT12,494
NP_000215,KRT18,430
NP_000217,KRT9,623
NP_000219,LAMB3,1172
NP_000220,LCAT,440
NP_000221,LEP,167
NP_000222,SGCG,291
